group,feature,n_rows,n_missing,missing_frac,n_unique,unique_ratio,normalized_entropy,is_numeric,numeric_min,numeric_max,numeric_mean,n_format_patterns,n_rule_violations,top_value,top_value_frac
Doxepin,Patient ID,261,0,0.0,261,1.0,1.0,True,3747.0,4789.0,4266.502,1,0,4789,0.0038
Doxepin,Age (year),261,0,0.0,62,0.2375,0.9577,True,11.0,83.0,48.057,1,0,60.0,0.0345
Doxepin,Gender,261,0,0.0,2,0.0077,0.9995,False,,,,1,0,Female,0.5134
Doxepin,Weight (kg),261,0,0.0,39,0.1494,0.9284,True,38.0,120.0,73.912,1,0,70,0.0958
Doxepin,Height (cm),261,0,0.0,27,0.1034,0.9203,True,145.0,182.0,169.916,1,0,178,0.1073
Doxepin,BMI,261,0,0.0,81,0.3103,0.9291,True,17.4,37.9,25.515,1,0,25.0,0.0421
Doxepin,Genetic Disorders,261,40,0.1533,21,0.095,0.614,False,,,,15,0,None known,0.552
Doxepin,Chronic Conditions,261,1,0.0038,179,0.6885,0.8965,False,,,,75,0,Insomnia,0.0962
Doxepin,Pregnancy / Breastfeeding,261,0,0.0,15,0.0575,0.5508,False,,,,11,0,Not pregnant / not breastfeeding,0.4023
Doxepin,Drug Allergies,261,40,0.1533,20,0.0905,0.595,False,,,,11,0,No known drug allergies,0.5837
Doxepin,Renal Impairment,261,0,0.0,54,0.2069,0.5963,False,,,,10,0,Normal renal function (eGFR >90),0.4674
Doxepin,Hepatic Impairment,261,96,0.3678,14,0.0848,0.3602,False,,,,11,0,Normal hepatic function (normal LFTs),0.7333
Doxepin,Cardiac Impairment,261,77,0.295,38,0.2065,0.4795,False,,,,31,0,No known cardiac disease; ECG normal,0.6087
Doxepin,Respiratory Impairment,261,84,0.3218,13,0.0734,0.3533,False,,,,13,0,No respiratory impairment,0.7062
Doxepin,Alcohol Use,261,198,0.7586,29,0.4603,0.7518,False,,,,17,0,Occasional (1 drink/week),0.4127
Doxepin,Tobacco Use,261,0,0.0,24,0.092,0.5296,False,,,,11,0,Never smoker,0.4904
Doxepin,Substance Use,261,201,0.7701,12,0.2,0.6781,False,,,,10,0,Rare recreational cannabis,0.3
Doxepin,Caffeine Intake,261,1,0.0038,14,0.0538,0.519,False,,,,9,0,Moderate (1-2 cups coffee/day),0.4654
Doxepin,Current Medications,261,123,0.4713,125,0.9058,0.9927,False,,,,42,0,Lithium carbonate 900 mg/day,0.0217
Doxepin,Foods (Last 24h),261,0,0.0,69,0.2644,0.6351,False,,,,11,0,Regular balanced diet,0.4789
Doxepin,Symptoms,261,0,0.0,193,0.7395,0.932,False,,,,58,0,Low mood,0.0881
Doxepin,Diagnosis,261,0,0.0,154,0.59,0.7873,False,,,,39,0,Major depressive disorder,0.3142
Doxepin,Dosage,261,0,0.0,21,0.0805,0.6528,False,,,,5,261,75 mg PO once daily,0.3525
Doxepin,Duration,261,0,0.0,4,0.0153,0.5448,False,,,,2,133,chronic (ongoing),0.4981
Doxepin,Prompt / Clinical Scenario,261,0,0.0,261,1.0,1.0,False,,,,167,0,"41M, former smoker with controlled hypertension on amlodipine; start doxepin? Safe?",0.0038
Doxepin,Risk_Categories,261,0,0.0,46,0.1762,0.6065,False,,,,1,0,"{""Allergy & Adverse Drug Reaction Risk"": false, ""Drug-Drug Interaction Risk"": false, ""Drug-Food Interaction Risk"": false, ""Dosage & Toxicity Risk"": false, ""Renal Impairment Risk"": false, ""Hepatic Impairment Risk"": false, ""Cardiac Impairment Risk"": false, ""Respiratory Impairment Risk"": false, ""Bleeding Risk"": false, ""Infection Risk"": false, ""Pregnancy & Breastfeeding Risk"": false, ""Alcohol Use Risk"": false, ""Tobacco Use Risk"": false, ""Substance Use Risk"": false, ""Caffeine Intake Risk"": false, ""Weight/BMI Risk"": false, ""Age Risk"": false}",0.5211
Doxepin,Is_Safe,261,0,0.0,2,0.0077,0.9987,False,,,,1,0,True,0.5211
Doxepin,Reasoning,261,0,0.0,261,1.0,1.0,False,,,,260,0,"The documents identify no tobacco interaction with doxepin, so his former smoking is not a risk factor for this drug, and amlodipine is not a flagged interaction. Controlled hypertension is not a contraindication. The standard dose is appropriate, so no risk category is decisive.",0.0038
Naproxen,Patient ID,221,0,0.0,221,1.0,1.0,True,3526.0,3746.0,3636.0,1,0,3746,0.0045
Naproxen,Age (year),221,0,0.0,60,0.2715,0.9362,True,1.0,82.0,42.439,1,0,49.0,0.0498
Naproxen,Gender,221,0,0.0,2,0.009,0.9975,False,,,,1,0,Male,0.5294
Naproxen,Weight (kg),221,0,0.0,32,0.1448,0.7735,True,10.0,104.0,70.977,1,0,82,0.1267
Naproxen,Height (cm),221,0,0.0,26,0.1176,0.8148,True,76.0,183.0,168.747,1,0,170,0.1357
Naproxen,BMI,221,0,0.0,60,0.2715,0.9448,True,14.8,34.0,24.597,1,0,28.4,0.0498
Naproxen,Genetic Disorders,221,43,0.1946,15,0.0843,0.6843,False,,,,9,0,Sickle cell trait (asymptomatic carrier),0.2135
Naproxen,Chronic Conditions,221,0,0.0,156,0.7059,0.9531,False,,,,63,0,Osteopenia,0.0452
Naproxen,Pregnancy / Breastfeeding,221,117,0.5294,14,0.1346,0.2643,False,,,,7,0,"Not pregnant, not breastfeeding",0.875
Naproxen,Drug Allergies,221,0,0.0,17,0.0769,0.5048,False,,,,11,0,"Penicillin (rash, tolerates NSAIDs)",0.3348
Naproxen,Renal Impairment,221,0,0.0,30,0.1357,0.5824,False,,,,21,0,Normal (eGFR 96),0.2443
